title,category,essence,function,application,example,pitfall,pairs_with,source
"Kultur & Gesellschaft","Worldbuilding","Die gesellschaftliche Organisation, Normen, Tabus und Machtstrukturen einer fiktiven Welt bestimmen, welche Konflikte möglich sind und was die Figuren antreibt.","Verankert Figuren in einer glaubwürdigen sozialen Realität und macht gesellschaftliche Konflikte organisch statt aufgesetzt.","Was ist in der Gesellschaft meiner Geschichte normal, was tabuisiert – und welche Figur bricht dieses Tabu?","Das Kastensystem in Schöne neue Welt (Huxley), Gilead in Der Report der Magd (Atwood)","","Figur vs. Gesellschaft, Ökonomie & Macht",""
"Ökonomie & Macht","Worldbuilding","Wer hat in der fiktiven Welt welche Ressourcen und welchen Einfluss? Ökonomische Strukturen bestimmen, wer handeln kann und wer nicht.","Gibt Konflikten eine materielle Basis und verhindert, dass die Handlung im Luftleeren schwebt. Macht Schurken glaubwürdig durch reale Interessenlagen.","Was wäre, wenn meine Figur kein Geld, keinen Status oder keine Verbündeten hätte? Was kann sie sich wirklich leisten?","Die Spice-Ökonomie in Dune, Machtstrukturen in Game of Thrones, Klassengesellschaft bei Dickens","","Figur vs. Gesellschaft, Kultur & Gesellschaft",""
"Technologische Paradigmen","Worldbuilding","Das technologische Niveau einer Welt bestimmt, welche Konflikte, Lösungen und Machtverhältnisse existieren können.","Setzt die Grenzen des Möglichen in einer Welt und erzeugt charakteristische Spannungen, z.B. Mensch vs. Maschine oder Tradition vs. Innovation.","Welche Technologie in meiner Welt verändert grundlegend, was Macht bedeutet – und wer hat Zugang zu ihr?","Dampfmaschinen in Steampunk-Romanen, KI in Blade Runner / Neuromancer (Gibson)","","Figur vs. Technologie, Hard Magic System",""
"In Medias Res","Pacing & Dynamik","Die Geschichte beginnt mitten in der Handlung, ohne lange Exposition. Der Leser wird direkt in einen Moment geworfen und erschließt den Kontext aus der Handlung heraus.","Erzeugt sofortigen Sog, vermeidet langsame Starts und zwingt den Leser durch Neugier in die Geschichte.","Was ist der spannendste oder aufschlussreichste Moment, mit dem ich meine Geschichte beginnen kann – und wie baue ich die nötige Exposition organisch danach ein?","Die Odyssee (Odysseus bereits auf See), Casino Royale, Fight Club (Erzähler bereits mit der Waffe am Kopf)","Zu wenig Orientierung zu Beginn kann den Leser verwirren statt fesseln.","Rückblende, Rahmenerzählung",""
"Zeitdruck","Pacing & Dynamik","Eine klare Deadline oder ein ablaufendes Zeitfenster, das die Figuren unter Druck setzt und das Scheitern mit einer konkreten, schlimmen Konsequenz verbindet.","Steigert Spannung mechanisch und unerbittlich. Verhindert, dass Figuren sich zu viel Zeit für Überlegungen nehmen.","Was passiert genau, wenn meine Figur diese Aufgabe nicht rechtzeitig abschließt – und ist diese Konsequenz für den Leser wirklich bedrohlich?","Speed (die Bombe im Bus), 24 (TV-Serie), Arrival (Denis Villeneuve)","Der Zeitdruck verliert seine Kraft, wenn er mehrfach verlängert wird ohne echte Konsequenz.","Cliffhanger, Midpoint-Reversal",""
"Vorausdeutung","Pacing & Dynamik","Subtile Hinweise, Symbole oder Szenen früh in der Geschichte, die spätere Ereignisse vorbereiten, ohne sie zu verraten.","Erzeugt rückwirkend das Gefühl narrativer Unvermeidlichkeit. Belohnt erneutes Lesen.","Welches Detail in meiner Eröffnung kann ich so platzieren, dass es beim zweiten Lesen deutlich auf das Ende verweist?","Die roten Rosen in American Beauty, die Schneekugel in Citizen Kane, Schechovs Pistole in unzähligen Krimis","Zu offensichtliches Foreshadowing nimmt dem Twist den Effekt; zu subtiles bemerkt niemand.","Chekhovs Gewehr, Der Twist",""
"Cliffhanger","Pacing & Dynamik","Ein Kapitel oder eine Szene endet an einem Punkt maximaler Spannung, kurz vor der Auflösung eines Konflikts.","Erzeugt zwingenden Lesedrang über Kapitelgrenzen hinaus und lässt das Buch schwer weglegbar erscheinen.","Was ist die schlimmste oder interessanteste mögliche Situation, in der ich meine Figur an einer Kapitelgrenze zurücklassen kann?","Dickens' Serienromane, Fast jede Folge von Game of Thrones, Dan Brown (The Da Vinci Code)","Zu viele Cliffhanger ohne Auflösung erzeugen Leser-Frustration statt Spannung.","Zeitdruck, Wendepunkt der Szene",""
"Midpoint-Reversal","Pacing & Dynamik","In der Mitte der Geschichte verändert sich die grundlegende Situation oder das Ziel der Hauptfigur radikal – ein Scheingewinn wird zum echten Problem oder umgekehrt.","Verhindert das Durchhängen im zweiten Akt, gibt der Geschichte neuen Schwung und schärft das Thema durch die Neudefinition des eigentlichen Problems.","Was glaubt meine Figur in der Mitte der Geschichte gewonnen zu haben – und was stellt sich dabei als Irrtum oder neue, größere Herausforderung heraus?","Der Tod von Marion Crane in Psycho (Hitchcock) als radikale Neuausrichtung; Scheingewinn in Star Wars Episode IV","","3-Akt-Struktur, Save the Cat! Beat Sheet",""
"Rückblende","Pacing & Dynamik","Die Handlung wird unterbrochen, um einen vergangenen Moment direkt zu zeigen oder zu erleben, der das Verständnis der aktuellen Situation vertieft.","Enthüllt Hintergrundinformation emotional statt expository, gibt Figuren Tiefe und kann Plottwists vorbereiten.","Welche Information über die Vergangenheit meiner Figur verändert die Bedeutung einer aktuellen Szene grundlegend – und wann ist der emotionalste Moment, sie zu enthüllen?","Citizen Kane (Struktur fast nur Rückblenden), Abbitte (McEwan), Lost (TV-Serie)","Zu frühe Rückblenden können die Spannung der Gegenwart brechen, bevor sie aufgebaut ist.","In Medias Res, Rahmenerzählung",""
"Slow Burn","Pacing & Dynamik","Spannung, Konflikte oder Beziehungen entwickeln sich über einen langen Zeitraum sehr graduell und subtil, bevor sie sich entladen.","Erzeugt intensive emotionale Investition, weil der Leser lange auf die Auflösung wartet. Besonders wirksam für Romantik, Thriller und psychologische Dramen.","Was ist die kleinste Eskalation, die ich pro Kapitel einbauen kann, damit mein Slow Burn voranschreitet ohne seinen Reiz zu verlieren?","Elizabeth & Darcy (Stolz und Vorurteil), Better Call Saul (Transformation zu Saul)","Ein Slow Burn ohne regelmäßige kleine Eskalationen stagniert und verliert den Leser.","Enemies to Lovers, Unterschwelliger Konflikt",""
"Ruhepause","Pacing & Dynamik","Eine Szene oder ein Kapitel, das nach intensiver Spannung emotionale Entlastung bietet: Humor, Freude, Ruhe, Verbindung zwischen Figuren.","Reguliert das Pacing und verhindert emotionale Taubheit durch konstante Spannung. Macht die nächste Eskalation wirksamer.","Welcher Moment nach einer Klimax-Szene ermöglicht meinen Figuren und dem Leser kurz zu atmen – und was kann diese Pause trotzdem für den Plot leisten?","Sam & Frodos Gespräch über Geschichten (Der Herr der Ringe), Lagerfeuernächte in Abenteuerromanen","Eine Ruhepause, die zu lang ist, tötet die aufgebaute Spannung.","Cliffhanger, Scene & Sequel",""
"Unzuverlässiger Erzähler","Perspektive","Ein Erzähler, der dem Leser absichtlich oder unwissentlich ein verzerrtes, unvollständiges oder falsches Bild der Ereignisse vermittelt.","Erzeugt Spannung durch die Frage, was wirklich passiert, und zwingt den Leser zur aktiven Interpretation. Enthüllt Figuren-Psychologie durch Auslassungen.","Was verschweigt, verdreht oder missversteht mein Erzähler – und welche Szenen zeigen dem aufmerksamen Leser die Risse in seiner Version der Wahrheit?","Stevens in Was vom Tage übrig blieb (Ishiguro), Amy Dunne (Gone Girl), Humbert Humbert (Lolita – Nabokov)","Der unzuverlässige Erzähler funktioniert nur, wenn die Unzuverlässigkeit rückwirkend nachvollziehbar ist.","Der Twist, Falsche Fährte",""
"Tiefer personaler Erzähler","Perspektive","Die Erzählung taucht so tief in das Bewusstsein der Figur ein, dass jeder Satz in ihrer Sprache, Wahrnehmung und emotionalen Realität gefärbt ist. Keine Distanz zwischen Figur und Leser.","Erzeugt maximale Empathie und Immersion. Jedes beschriebene Objekt sagt etwas über die innere Welt der Figur.","Erkenne ich in meinem Text noch Formulierungen, die der Autor statt die Figur sagen würde – und wie ersetze ich sie durch die Wahrnehmung meiner Figur?","Lyra Silvertongue in His Dark Materials (Pullman), Katniss (Die Tribute von Panem)","Deep POV mit einer unsympathischen oder uninteressanten Figur kann sehr ermüdend sein.","Ich-Erzähler, Bewusstseinsstrom",""
"Ich-Erzähler","Perspektive","Die Geschichte wird in der ersten Person erzählt. Der Erzähler ist Figur in der Geschichte und gibt dem Leser direkten Zugang zu einem einzigen Bewusstsein.","Erzeugt Intimität und Unmittelbarkeit. Schränkt das Wissen auf das ein, was die Figur tatsächlich weiß und erleben kann.","Was weiß mein Ich-Erzähler nicht – und wie nutze ich diese Lücke für Spannung oder späte Enthüllung?","Holden Caulfield (Der Fänger im Roggen), Scout Finch (Wer die Nachtigall stört), Ishmael (Moby Dick)","Der Ich-Erzähler kann keine Szenen glaubwürdig beschreiben, bei denen er nicht anwesend war.","Unzuverlässiger Erzähler, Tiefer personaler Erzähler",""
"Auktorialer Erzähler","Perspektive","Ein allwissender Erzähler außerhalb der Geschichte, der Zugang zu allen Figuren, Gedanken und Ereignissen hat und die Erzählung aktiv kommentiert.","Ermöglicht epische Geschichten mit vielen Figuren, Zeitsprünge und Ironie durch Kommentar-Distanz. Gibt dem Autor größte Flexibilität.","Wo nutzt mein Erzähler die Distanz zum Kommentieren – und wo sollte er eintauchen, um die Figur näher an den Leser zu bringen?","Leo Tolstoi (Krieg und Frieden), Jane Austen (Stolz und Vorurteil), Terry Pratchett (Scheibenwelt)","Auktorialer Kommentar kann die emotionale Immersion unterbrechen; sparsam einsetzen.","Multi-POV, Tiefer personaler Erzähler",""
"Multi-POV","Perspektive","Die Geschichte wird aus den Perspektiven mehrerer unterschiedlicher Figuren erzählt, jede mit ihrer eigenen Stimme und Wahrnehmung.","Erlaubt komplexe, mehrschichtige Handlungsstränge und enthüllt Wahrheit durch die Kombination verschiedener subjektiver Sichten.","Was sieht jede meiner POV-Figuren an einer Schlüsselszene anders – und wie verändert dieses Wissensgefälle die Spannung für den Leser?","A Song of Ice and Fire (Martin), Gone Girl (Flynn – Nick und Amy), Der Herr der Ringe","Zu viele POV-Figuren verwässern die emotionale Bindung; jede Perspektive muss einzigartig und notwendig sein.","Auktorialer Erzähler, Unzuverlässiger Erzähler",""
"Rahmenerzählung","Perspektive","Eine äußere Geschichte umschließt die eigentliche innere Erzählung. Ein Erzähler in der Rahmenhandlung berichtet von vergangenen Ereignissen.","Erzeugt Distanz und Kommentar, macht Auslassungen glaubwürdig, kann Spannung durch das Wissen aufbauen, dass der Erzähler überlebt hat.","Was weiß mein Rahmenerzähler schon vom Ende der Geschichte – und wie färbt dieses Wissen implizit seine Erzählung?","Frankenstein (Shelley – Briefe), Sturmhöhe (Brontë), Die Brautprinzessin, Der Hobbit","Ein Rahmen, der irrelevant für das Thema ist, verwirrt mehr als er hilft.","Rückblende, Unzuverlässiger Erzähler",""
"Bewusstseinsstrom","Perspektive","Die inneren Gedanken, Assoziationen und Wahrnehmungen einer Figur werden in ihrer natürlichen, assoziativen Unordnung direkt auf der Seite abgebildet.","Erzeugt maximale psychologische Nähe und eignet sich für die Darstellung von Trauma, Rausch, Verwirrung und intensiver innerer Erfahrung.","In welchem Moment der intensivsten psychologischen Belastung meiner Figur könnte ein Bewusstseinsstrom-Einschub die innere Wirklichkeit besser abbilden als geordnete Erzählung?","Ulysses (Joyce), Mrs. Dalloway (Woolf), Der Schall und der Zorn (Faulkner)","Länger angehaltener Bewusstseinsstrom ist für viele Leser schwer zugänglich; sparsam einsetzen.","Tiefer personaler Erzähler, Figur vs. sich selbst",""
"Thematische Frage","Thema & Motiv","Die zentrale moralische, philosophische oder emotionale Frage, die die Geschichte stellt und deren Antwort sie durch Handlung und Figuren ausarbeitet.","Gibt der Geschichte ein inneres Anliegen, das über den Plot hinausgeht, und verbindet alle Elemente zu einem kohärenten Ganzen.","Was ist die eine Frage, die meine Geschichte stellt – und wie lautet die implizite Antwort, die das Ende liefert?","»Welchen Preis hat Macht?« (Macbeth), »Kann ein Mensch sich wirklich ändern?« (Breaking Bad, Les Misérables)","","Moralische Prämisse, Gegen-Thema",""
"Moralische Prämisse","Thema & Motiv","Ein präziser Satz, der das Thema als kausale Formel ausdrückt: »[Laster] führt zu [Niederlage]; [Tugend] führt zu [Sieg].«","Gibt dem Autor einen Test für jede Szene: Trägt diese Szene zur moralischen Prämisse bei? Verhindert thematische Inkohärenz.","Lässt sich das Thema meiner Geschichte auf eine Prämisse komprimieren – und welche Figur verkörpert die positive, welche die negative Seite?","»Gier führt zu Zerstörung; Großzügigkeit zur Verbindung« (A Christmas Carol), »Hochmut führt zum Fall« (Macbeth)","","Thematische Frage, Gegen-Thema","Die moralische Prämisse, Stanley D. Williams"
"Leitmotiv","Thema & Motiv","Ein wiederkehrendes Element – ein Bild, ein Satz, ein Symbol, eine Melodie – das die thematische Tiefe trägt und die emotionalen Schichten der Geschichte verknüpft.","Erzeugt ein Gefühl narrativer Kohärenz und emotionaler Resonanz, das weit über den expliziten Inhalt hinausgeht.","Welches Bild, welcher Satz oder welches Objekt taucht an den wichtigsten emotionalen Momenten meiner Geschichte auf – und verändert seine Bedeutung dabei?","Der grüne Lichtpunkt (Der große Gatsby), Schnee in Die Toten (James Joyce), die Uhr in vielen Thriller-Narrativen","","Symbol, Thematische Frage",""
"Symbol","Thema & Motiv","Ein konkretes Objekt, eine Figur oder ein Ort, das eine abstrakte Idee oder ein Thema repräsentiert, das über seine wörtliche Bedeutung hinausgeht.","Ermöglicht die Verdichtung komplexer thematischer Aussagen in konkrete, emotional aufgeladene Bilder.","Welches Objekt in meiner Geschichte kann ich so aufbauen, dass es am Ende des Romans mehr bedeutet als am Anfang?","Der weiße Wal (Moby Dick), die gläserne Menagerie (Tennessee Williams), der scharlachrote Buchstabe (Hawthorne)","","Leitmotiv, Vorausdeutung",""
"Allegorie","Thema & Motiv","Eine Geschichte, in der Figuren, Orte und Ereignisse systematisch für Ideen, Zustände oder reale Situationen stehen, die eine zweite Bedeutungsebene erzeugen.","Ermöglicht Gesellschaftskritik und moralische Aussagen in fiktionalem Gewand, das direkte Kritik umgeht.","Auf welche reale Situation oder Ideologie spiegelt meine Geschichte – und welche Elemente der Allegorie sind für den Leser lesbar, welche versteckt?","Animal Farm (Orwell – Sowjetunion), Herr der Fliegen (Golding – Zivilisation vs. Barbarei)","Zu direkte Allegorie reduziert Figuren zu Symbolen ohne eigene Lebendigkeit.","Symbol, Moralische Prämisse",""
"Gegen-Thema","Thema & Motiv","Eine Figur oder ein Handlungsstrang, der die umgekehrte These zum Hauptthema verkörpert und damit die thematische Frage in Spannung hält.","Verhindert Vereinfachung und Predigton; zeigt, dass die Geschichte die Komplexität ihrer Frage ernst nimmt.","Wer in meiner Geschichte vertritt am überzeugendsten die entgegengesetzte Position zum Thema – und warum ist er nicht leicht zu widerlegen?","Iago als Gegen-Thema zu Vertrauen in Othello, Salieri als Gegen-Thema zu Mozarts Gnade-durch-Talent in Amadeus","","Thematische Frage, Der Schatten",""
"Scene & Sequel","Szenen-Handwerk","Jede dramatische Szene (Ziel → Konflikt → Desaster) folgt eine Reflexionsphase (Reaktion → Dilemma → Entscheidung), bevor die nächste Szene beginnt.","Gibt Lesern Zeit zur emotionalen Verarbeitung und verankert jede Szene in der inneren Logik der Figur, bevor sie wieder handelt.","Was entscheidet meine Figur am Ende der Sequel-Phase, das die nächste Szene mit einem neuen, konkreten Ziel startet?","Lee Child (Jack Reacher-Serie als Musterbeispiel für klare Scene-Sequel-Struktur), Genre-Fiction allgemein","","Szenenziel & Hindernisse, Innere vs. äußere Reise","Techniques of the Selling Writer, Dwight Swain"
"Szenenziel & Hindernisse","Szenen-Handwerk","Jede Szene braucht ein konkretes Ziel der Hauptfigur und ein echtes Hindernis, das das Erreichen dieses Ziels gefährdet.","Verhindert Szenen ohne dramatischen Zweck und stellt sicher, dass jede Seite Spannung trägt.","Was will meine POV-Figur in dieser Szene? Wer oder was verhindert es – und kann das Ergebnis schlimmer werden als erwartet?","Anwendbar auf jede gut konstruierte Szene; Grundlage in fast allen Struktur-Lehrbüchern","","Scene & Sequel, Wendepunkt der Szene",""
"Wendepunkt der Szene","Szenen-Handwerk","Der Moment in einer Szene, in dem sich der Wertzustand für die Hauptfigur verändert – von gut zu schlecht, von schlecht zu schlechter, von unsicher zu klar.","Definiert die dramatische Funktion der Szene. Ohne Turn ist die Szene kein Drama, sondern Beschreibung.","Welcher konkrete Moment in dieser Szene verändert die Lage meiner Figur – und ist diese Veränderung überraschend genug, um die Seite lohnenswert zu machen?","Das erste Verhör in einem Krimi, das Geständnis in einer Liebesszene, die Enthüllung in einem Dialog","","Szenenziel & Hindernisse, Cliffhanger","Story, Robert McKee"
"Spät rein / früh raus","Szenen-Handwerk","Beginne jede Szene so spät wie möglich (kurz vor dem entscheidenden Moment) und beende sie so früh wie möglich (kurz nach dem Wendepunkt).","Maximiert Pacing, eliminiert unnötige Warm-up-Dialoge und überflüssige Abwicklungen nach der eigentlichen Szene.","Wo beginnt meine Szene wirklich? Kann ich die ersten zwei Absätze streichen? Gibt es einen Absatz zu viel nach dem Turn?","Goldstandard in Drehbüchern; Ratschlag in Stephen Kings On Writing","","Wendepunkt der Szene, Doppelfunktion der Szene","Story, Robert McKee; On Writing, Stephen King"
"Doppelfunktion der Szene","Szenen-Handwerk","Jede Szene sollte mindestens zwei dramatische Funktionen gleichzeitig erfüllen: Plot voranbringen, Charakter enthüllen, Thema stärken oder Welt aufbauen.","Maximiert die Effizienz des Textes und vermeidet Szenen, die nur eine einzige Aufgabe haben und den Lesefluss bremsen.","Welche zweite Funktion kann ich meiner aktuellen Infoszene geben, damit sie gleichzeitig Charakter enthüllt oder Konflikt erzeugt?","Das Familienfrühstück in American Beauty (Familienkonflikt + Charakterisierung + Worldbuilding gleichzeitig)","Eine Szene, die drei oder vier Funktionen hat, verliert an Fokus; zwei ist die optimale Zahl.","Szenenziel & Hindernisse, Leitmotiv",""
"Der Beat","Szenen-Handwerk","Die kleinste dramatische Einheit: ein einzelner Austausch von Aktion und Reaktion zwischen Figuren oder innerhalb einer Figur, der eine minimale Veränderung bewirkt.","Beats sind die Atome des Dramas; eine Szene ist eine Folge von Beats. Wer Beats bewusst gestaltet, kontrolliert das Pacing auf Mikroebene.","Verlangsame eine Szene, indem du mehr Beats einfügst; beschleunige sie, indem du Beats zusammenfasst oder weglässt.","Schnelle Dialoge in Screwball-Komödien vs. schweigende Gegenüberstellungen in psychologischen Dramen","","Wendepunkt der Szene, Prosa-Rhythmus","Story, Robert McKee"
"Subtext","Dialog","Was Figuren wirklich meinen, fühlen oder wollen, wird nicht explizit gesagt, sondern schwingt unter der Oberfläche des gesprochenen Textes mit.","Macht Dialog schichtreich und glaubwürdig, weil echte Menschen selten direkt aussprechen, was sie wirklich wollen.","Was will jede Figur in diesem Dialog wirklich – und was sagen sie stattdessen? Sind diese zwei Dinge wirklich verschieden?","Der Abschiedsdialog in Casablanca, fast jede Szene in Harold Pinters Stücken, Szene im Café in Lost in Translation","Zu viel Subtext ohne gelegentliche Direktheit wirkt undurchdringlich; nicht jede Szene braucht verborgene Ebenen.","Unterschwelliger Konflikt, Das Ungesagte",""
"Unterschwelliger Konflikt","Dialog","Zwei Figuren sprechen über ein Thema, während sie eigentlich über etwas völlig anderes streiten – der eigentliche Konflikt liegt unter der sprachlichen Oberfläche.","Gibt Dialog Spannung und emotionale Dichte. Selbst eine scheinbar ruhige Szene kann explosive Intensität haben.","Was streiten meine Figuren wirklich, wenn sie über das Abendessen, das Wetter oder den Plan streiten?","Wer hat Angst vor Virginia Woolf? (Albee), Hills Like White Elephants (Hemingway)","","Subtext, Enemies to Lovers",""
"Figurenstimme","Dialog","Jede Figur spricht mit einem unverwechselbaren Vokabular, Rhythmus und Redeweise, die ihre Herkunft, Persönlichkeit und Weltanschauung widerspiegeln.","Macht Figuren ohne Zuschreibung erkennbar und lebendig; verhindert, dass alle Figuren wie der Autor klingen.","Könntest du den Figurennamen entfernen und den Dialog nur anhand des Sprachstils dem Sprecher zuordnen?","Hagrid vs. Dumbledore vs. Voldemort (Harry Potter), Gollum (Der Herr der Ringe), Yoda (Star Wars)","Dialekt in Schriftform kann Leser ausschließen oder stereotypisieren; sparsam einsetzen.","Subtext, Tiefer personaler Erzähler",""
"Das Ungesagte","Dialog","Das bedeutendste Gesprächselement ist manchmal das, was nicht gesagt wird – die Pause, das Schweigen, das Ausweichen.","Gibt dem Leser eine aktive Interpretationsaufgabe und erzeugt Spannung durch das Bewusstsein, dass etwas Wichtiges zurückgehalten wird.","Welche Aussage in meinem Dialog kann ich in Schweigen oder Themenwechsel verwandeln – und ist das Ungesagte für den Leser trotzdem verständlich?","Der Vorleser (Schlink), Pinter-Pausen in Bühnenstücken, Hemingways Kurzprosa allgemein","","Subtext, Figur vs. sich selbst",""
"Exposition im Dialog","Dialog","Der Versuch, Hintergrundinformation durch unnatürliche Dialoge zu vermitteln, bei denen Figuren Dinge sagen, die beide bereits wissen (»As you know, Bob...«).","Dieser Mechanismus sollte vermieden werden. Er entlarvt den Autor hinter der Fiktion und lässt Figuren wie Informationsbroschüren klingen.","Wer braucht in dieser Szene wirklich eine Information – und welche Figur weiß sie noch nicht? Nur dann darf erklärt werden.","»Wie du weißt, Bruder, ist unser Vater seit zwanzig Jahren König...« – Stilmittel des schlechten Expositions-Dialogs","Dies ist die Pitfall – die gesamte Karte ist eine Warnung.","Fish out of Water, In Medias Res",""
"Verbaler Schlagabtausch","Dialog","Schneller, witziger, oft spielerischer Wortaustausch zwischen Figuren, der Beziehung und Chemie zeigt, ohne Plot zu bewegen.","Erzeugt Sympathie, Pausen im Drama und lässt Figurenbeziehungen lebendig und real erscheinen.","Wie sprechen meine zwei engsten Verbündeten miteinander, wenn die Welt nicht untergeht – und verrät mir dieser Ton etwas über ihre echte Beziehung?","Sherlock Holmes & Watson, Han Solo & Leia (Star Wars), Benedikt & Beatrice (Viel Lärm um Nichts), Lorelai & Rory (Gilmore Girls)","Banter, der Plot-relevante Szenen ersetzt statt ergänzt, verlangsamt das Pacing.","Ruhepause, Figur vs. Figur",""
"Action Beat","Dialog","Eine kurze körperliche Handlung, die in einem Dialogaustausch eingeschoben wird, anstatt eines Attributionstags wie »sagte er«. Sie charakterisiert und gibt Tempo.","Verankert den Dialog im physischen Raum, zeigt Nervosität, Absicht oder Emotion durch Körpersprache statt durch Adverbien.","Welche Gewohnheit, Geste oder Körperhaltung verrät etwas über die innere Verfassung meiner Figur in diesem Moment?","Standardtechnik in moderner Prosa; als Prinzip: Show, don't tell","Zu viele oder klischeehafte Action Beats nerven statt zu charakterisieren.","Tiefer personaler Erzähler, Figurenstimme",""
"Positiver Wandlungsbogen","Charakter-Entwicklung","Eine Figur beginnt mit einer falschen Überzeugung oder Schwäche und wächst durch die Handlung zu einer Wahrheit, die sie am Anfang nicht erkennen konnte.","Erzeugt die tiefste emotionale Befriedigung, da der Leser die innere Reise ebenso verfolgt wie die äußere. Das Thema der Geschichte manifestiert sich im Bogen.","Was glaubt meine Figur zu Beginn fälschlicherweise über sich, andere oder die Welt – und welche Szene zwingt sie, diese Überzeugung aufzugeben?","Ebenezer Scrooge (A Christmas Carol), Elizabeth Bennet (Stolz und Vorurteil), Tony Stark (Iron Man), Simba (Der König der Löwen)","","Die Lüge der Figur, Wunsch vs. Bedürfnis","The Emotional Craft of Fiction, Donald Maass"
"Negativer Bogen","Charakter-Entwicklung","Eine Figur beginnt mit einer falschen Überzeugung und wird durch die Handlung tiefer in diese Lüge hineingezogen, bis sie scheitert oder fällt.","Erzeugt Tragödie und Sozialkritik. Der Leser sieht das Scheitern kommen und ist trotzdem gefesselt; das Thema wird durch das Scheitern enthüllt.","An welchem Punkt hat meine Figur die letzte Möglichkeit, sich anders zu entscheiden – und welche Szene markiert diesen unumkehrbaren Wendepunkt?","Macbeth (Shakespeare), Walter White (Breaking Bad), Anakin Skywalker (Star Wars)","","Tragischer Fehler, Figur vs. sich selbst",""
"Flacher Bogen","Charakter-Entwicklung","Eine Figur verändert sich kaum oder gar nicht – aber ihre konstante Überzeugung oder Haltung verändert die Welt oder die anderen Figuren um sie herum.","Ideal für Serienprotagonisten oder Archetypen. Die Spannung entsteht durch die Wirkung der Figur auf die Welt, nicht durch ihre eigene Wandlung.","Was ist die unveränderliche Überzeugung meiner Figur – und welche Welt oder welche anderen Figuren verändert sie damit?","Atticus Finch (Wer die Nachtigall stört), James Bond, Sherlock Holmes","","Gegen-Thema, Der Verbündete",""
"Wunsch vs. Bedürfnis","Charakter-Entwicklung","Was eine Figur bewusst anstrebt (Wunsch), ist selten das, was sie für ihre Entwicklung wirklich braucht (Bedürfnis). Die Geschichte führt sie vom Wunsch zum Bedürfnis.","Erzeugt inneren Konflikt und gibt der Handlung eine doppelte Erzählebene: die äußere Reise zum Wunsch, die innere Reise zum Bedürfnis.","Was will meine Figur, und was braucht sie wirklich? Wann begreift sie den Unterschied?","Simba will vergessen, braucht aber Verantwortung (Der König der Löwen); Tony Stark will Kontrolle, braucht Vertrauen (Iron Man)","","Die Lüge der Figur, Positiver Wandlungsbogen","Story, Robert McKee"
"Tragischer Fehler","Charakter-Entwicklung","Eine grundlegende Charakterschwäche, Blindheit oder Hybris einer Figur, die unweigerlich zu ihrem Scheitern oder Fall führt.","Macht Tragödie unvermeidlich und erhöht die moralische Tiefe der Geschichte. Der Leser sieht das Scheitern kommen, weil er die Schwäche versteht.","Was ist die eine Eigenschaft meiner Figur, die sie nicht erkennt oder nicht aufgeben will – und wie wende ich genau diese Eigenschaft gegen sie?","Macbeths Ehrgeiz, Othellos Eifersucht, Ahabs Obsession (Moby Dick), Walter Whites Stolz (Breaking Bad)","","Negativer Bogen, Figur vs. sich selbst","Poetik, Aristoteles"
"Die Wunde","Charakter-Entwicklung","Ein vergangenes Trauma oder Erlebnis, das die Figur geformt hat und aus dem ihre gegenwärtige Fehlfunktion, Angst oder Überzeugung stammt.","Gibt der Figur psychologische Tiefe und Glaubwürdigkeit; erklärt (ohne zu entschuldigen) ihr Fehlverhalten und macht sie menschlich.","Was ist das prägende negative Erlebnis in der Vergangenheit meiner Figur – und wie manifestiert es sich in einer ihrer Verhaltensweisen in der ersten Szene?","Katniss' Verlust des Vaters (Die Tribute von Panem), Batmans Elternmord, fast jeder traumatisierte Held im psychologischen Drama","","Die Lüge der Figur, Rückblende","The Emotional Craft of Fiction, Donald Maass"
"Die Lüge der Figur","Charakter-Entwicklung","Eine falsche Überzeugung über sich selbst, andere oder die Welt, die die Figur als Wahrheit behandelt und die ihr Handeln in selbstschädigender Weise steuert.","Ist der Motor des inneren Charakterbogens. Die Geschichte deckt Schicht für Schicht auf, warum diese Überzeugung falsch ist, bis die Figur sie aufgeben kann oder muss.","Formuliere die Lüge deiner Figur als konkreten Satz – und wie formt sie jede ihrer Entscheidungen?","»Keine echte Verbindung ist möglich« (Her), »Schwäche ist Schande« (Thor – Marvel), traumatisierte Überlebende in nahezu allen Psychodramen","","Wunsch vs. Bedürfnis, Die Wunde","The Story Grid, Shawn Coyne"
"Kontrastfigur","Charakter-Entwicklung","Eine Figur, die durch Kontrast die Eigenschaften der Hauptfigur hervorhebt. Sie verkörpert den Weg, den der Protagonist nicht gewählt hat oder nicht gehen kann.","Setzt die Eigenschaften der Hauptfigur in Relief, vertieft thematische Aussagen und schafft Spannung durch Alternative und Spiegelung.","Welche Entscheidung hat meine Kontrastfigur getroffen, die mein Protagonist nicht treffen konnte – und was sagt dieser Unterschied über das Thema der Geschichte aus?","Draco Malfoy als Foil zu Harry Potter, Laertes als Foil zu Hamlet, Gaston als Foil zu Beast (Die Schöne und das Biest)","","Der Schatten, Gegen-Thema",""
